column_name,mean,std,min,max,missing_count
Air Temperature,12.607264763223402,10.443139366404797,-29.78,37.6,75
Wet Bulb Temperature,10.262253469685902,9.409855188382819,-28.9,28.4,76054
Humidity,68.02236345318177,15.629099888538173,0.0,100.0,0
Rain Intensity,0.15887177103393318,1.79327956490454,0.0,183.6,76054
Interval Rain,0.14226519646255456,1.096372449505438,-0.9,63.42,0
Total Rain,141.41263115080682,190.3907383952052,0.0,1056.1,76054
Precipitation Type,4.27115844345574,15.596476173752235,0.0,70.0,76054
Wind Direction,140.76273877247795,122.03341667057649,0.0,359.0,0
Wind Speed,2.91870235999308,5.339132450466765,0.0,999.9,0
Maximum Wind Speed,3.5554939295563948,5.9527332646403295,0.0,999.9,0
Barometric Pressure,994.3150947143295,10.02599204440447,0.0,3098.5,146
Solar Radiation,112.26772539002474,842.3582227540952,-100000.0,1277.0,0
Heading,282.0329371140182,142.72631112722613,0.0,359.0,76054
Battery Life,13.163625169188808,1.5446672294334474,0.0,15.3,0
