feature,importance
Air Temperature,0.9999993129897182
Battery Life,4.2030222926617297e-07
Wet Bulb Temperature,2.420642412248377e-07
Barometric Pressure,3.2492957708779483e-09
Wind Direction,2.9605451241400334e-09
wind_speed_rolling_7h,2.731642869269366e-09
humidity_rolling_24h,2.2482944084580434e-09
Maximum Wind Speed,2.0200504071566037e-09
Solar Radiation,1.8909593609217223e-09
Wind Speed,1.8583636137888281e-09
Humidity,1.6133152182457009e-09
day_of_week,1.6050329311127995e-09
Heading,1.301581592659059e-09
Total Rain,1.2349199773374012e-09
hour,1.1153900472464762e-09
year,3.871860093445613e-10
month,3.441035660724204e-10
is_weekend,8.313026503724845e-11
Rain Intensity,0.0
Precipitation Type,0.0
Interval Rain,0.0
